operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.6047834183,-58.4586812499",180000,USD,2729232,180000,120,110,1500,1636.363636,,4,,http://villa-crespo.properati.com.ar/12egq_venta_departamentos_villa-crespo_justo-juan-b-av-_4018_balcon_lavadero_luminoso_dependencias_estudio-lca
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,250000,USD,3790600,250000,117,120,2136.752137,2083.333333,,4,,http://ramos-mejia.properati.com.ar/s7pd_venta_casa_la-matanza
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Castelar|,"-34.6497002,-58.658073",410000,USD,6216584,410000,410,220,1000,1863.636364,,,,http://castelar-moron.properati.com.ar/11vgn_venta_casa_castelar_suite_lavadero_parrilla_piscina_quincho_toilette_dependencias_garage_leloir-inmuebles
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|,"-34.5957086,-58.5669503",180000,USD,2729232,180000,200,135,900,1333.333333,,5,,http://tres-de-febrero.properati.com.ar/7f7u_venta_casa_tres-de-febrero
sell,apartment,|Argentina|Capital Federal|Chacarita|,"-34.5846508988,-58.4546932614",129000,USD,1955949.6,129000,76,70,1697.368421,1842.857143,,,,http://chacarita.properati.com.ar/10qlv_venta_departamentos_chacarita_balcon_lavadero_toilette_placard_losa-radiante_barrera-y-asociados
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Tres de Febrero|Caseros|,"-34.6177676,-58.5663939",120000,USD,1819488,120000,180,180,666.6666667,666.6666667,,,,http://caseros.properati.com.ar/11vj6_venta_ph_caseros_balcon_jardin_lavadero_parrilla_patio_garage_pablo-yaryura-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6558611,-58.6167212",55000,USD,833932,55000,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/uu5o_venta_departamentos_moron
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Ituzaingó|,"-34.6552091,-58.69732",130000,USD,1971112,130000,300,140,433.3333333,928.5714286,,,,http://ituzaingo-bs-as-g-b-a-zona-oeste.properati.com.ar/11dqu_venta_casa_ituzaingo_jardin_lavadero_parrilla_patio_garage_tortorello-propiedades
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,,200000,USD,3032480,200000,61,48,3278.688525,4166.666667,,2,3400,http://nordelta.properati.com.ar/vwbs_alquiler_departamentos_nordelta
sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.6389789,-58.500115",87000,USD,1319128.8,87000,48,42,1812.5,2071.428571,,,,http://villa-luro.properati.com.ar/12m82_venta_departamentos_villa-luro_balcon_parrilla_patio_garage_aire-acondicionado_inmobiliaria-calot
sell,PH,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,120000,USD,1819488,120000,150,100,800,1200,,3,,http://haedo.properati.com.ar/sa3r_venta_ph_moron
sell,apartment,|Argentina|Capital Federal|Once|,"-34.6050060697,-58.4001162302",60000,USD,909744,60000,28,28,2142.857143,2142.857143,,1,,http://once.properati.com.ar/zz0q_venta_departamentos_once_luminoso_placard_ferrari-propiedades_cv8
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,"-34.6521726,-58.5778671",230000,USD,3487352,230000,290,230,793.1034483,1000,,5,,http://ramos-mejia.properati.com.ar/jmwp_venta_casa_la-matanza_cervantes_1400
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Fernando|Victoria|,"-34.447931,-58.5525002",190000,USD,2880856,190000,,,,,,,,http://victoria.properati.com.ar/rud2_venta_departamentos_victoria
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,"-34.6445852,-58.5940404",70000,USD,1061368,70000,55,55,1272.727273,1272.727273,3,3,,http://haedo.properati.com.ar/l03b_venta_departamentos_haedo
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Presidente Perón|Guernica|,,350000,USD,5306840,350000,0,360,,972.2222222,,,,http://guernica.properati.com.ar/rkb8_venta_casa_guernica
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,95000,USD,1440428,95000,,48,,1979.166667,,2,,http://ramos-mejia.properati.com.ar/10cpc_venta_departamentos_ramos-mejia_malvinas-argentinas-prop
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|La Plata|,"-34.9134724,-57.9788854",,,,,,,,,,,,http://la-plata-bs-as-g-b-a-zona-sur.properati.com.ar/yjl5_venta_departamentos_la-plata_patio_mirta-libera-propiedades_b3a
sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5646269,-58.4412741",600000,USD,9097440,600000,220,,2727.272727,,,5,,http://belgrano.properati.com.ar/jvge_venta_departamento_belgrano_garcia-teodoro_1900
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|,"-34.6555763,-58.5728642",47000,USD,712632.8,47000,,,,,,,,http://moron-bs-as-g-b-a-zona-oeste.properati.com.ar/rqrn_venta_departamentos_moron
sell,apartment,|Argentina|Capital Federal|San Nicolás|,"-34.603898,-58.378617",69000,USD,1046205.6,69000,,22,,3136.363636,23,2,,http://san-nicolas.properati.com.ar/rnju_venta_departamentos_constitucion
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|Nordelta|,"-34.417629,-58.645755",340000,USD,5155216,340000,200,200,1700,1700,,,,http://nordelta.properati.com.ar/12qcy_venta_casa_nordelta_suite_lavadero_parrilla_vestidor_dependencias_graciela-santillan-y-asociados
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Sur|Lomas de Zamora|Lomas de Zamora|,"-34.7575006,-58.391436",89900,USD,1363099.76,89900,45,43,1997.777778,2090.697674,2,,,http://lomas-de-zamora.properati.com.ar/w64k_venta_departamentos_lomas-de-zamora
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|Paso del Rey|,"-34.6556141,-58.7573603",110000,USD,1667864,110000,260,112,423.0769231,982.1428571,,,,http://paso-del-rey.properati.com.ar/zic9_venta_casa_paso-del-rey_balcon_jardin_lavadero_parrilla_patio_piscina_garage_etelman-propiedades
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|La Matanza|Ramos Mejía|,,260000,USD,3942224,260000,300,200,866.6666667,1300,,4,,http://ramos-mejia.properati.com.ar/s8pa_venta_casa_la-matanza
sell,apartment,|Argentina|Bs.As. G.B.A. Zona Norte|San Isidro|Martínez|,"-34.4869760349,-58.4973583434",270000,USD,4093848,270000,83,80,3253.012048,3375,,3,,http://martinez.properati.com.ar/12q5f_venta_departamentos_martinez_baulera_lavadero_vista_dependencias_garage_placard_dic-propiedades_c80
sell,house,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús|,"-34.7190399176,-58.3827209473",190000,USD,2880856,190000,290,170,655.1724138,1117.647059,,6,2,http://lanus.properati.com.ar/prvj_venta_casa_lanus
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Tigre|,"-34.4120738,-58.591934",380000,USD,5761712,380000,0,374,,1016.042781,,,,http://tigre-bs-as-g-b-a-zona-norte.properati.com.ar/10ln0_venta_casa_tigre_avenida-liniers_400_suite_lavadero_piscina_terraza_dependencias_garage_mieres-tigre-centro
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Morón|Haedo|,,,,,,384,80,,,,4,,http://haedo.properati.com.ar/s9da_venta_casa_moron
sell,apartment,|Argentina|Capital Federal|Caballito|,"-34.615847,-58.459957",118000,USD,1789163.2,118000,,54,,2185.185185,,2,,http://caballito.properati.com.ar/11wqh_venta_departamentos_caballito_balcon_jardin_garage_placard_losa-radiante_re-max-vanguard
sell,house,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|La Lucila|,"-34.5020981,-58.4864188",370000,USD,5610088,370000,330,322,1121.212121,1149.068323,,,,http://la-lucila.properati.com.ar/zh5r_venta_casa_la-lucila_rawson-guillermo_3200_suite_lavadero_parrilla_toilette_vestidor_dependencias_solimano-dal-pos-inmuebles-la-lucila
sell,house,|Argentina|Bs.As. G.B.A. Zona Oeste|Moreno|,"-34.6086244,-58.4134335",370000,USD,5610088,370000,1000,250,370,1480,,,,http://moreno-bs-as-g-b-a-zona-oeste.properati.com.ar/zjof_venta_casa_moreno_suite_lavadero_parrilla_piscina_toilette_vestidor_oyhanarte-propiedades-moreno
sell,store,|Argentina|Bs.As. G.B.A. Zona Norte|Vicente López|Olivos|,"-34.5123933,-58.4899116",390000,USD,5913336,390000,45,0,8666.666667,,,,,http://olivos.properati.com.ar/10ln7_venta_local_olivos_avenida-maipu_2500_codoni-sigma-inmuebles
